metadata,page_content
"{""brand"": ""特斯拉"", ""model"": ""ModelY"", ""name"": ""长续航全轮驱动版"", ""year"": 2021, ""price"": ""34.79万""}",外形酷炫，线条有力，深海蓝蓝的沁人心脾；内饰简约，冷淡而不失高级感，颜色搭配的恰到好处；操控、加速一级棒，没有油车的提速时候的顿挫感，一骑绝尘；空调吹出来的风特别柔和，没有怠速时候的抖动，也没有讨厌的汽油味，感觉可以住在里面了；北京的早晚高峰用自动驾驶，不能更惬意了 中控屏幕反应比较慢，自带导航不如高德好用，自动驾驶依赖自带地图的限速识别，而有时候限速的数字并不准确，需要时刻关注；空调有异响，不知道是不是热泵的原因；整体过于智能，没办法加入一些个性化的操作 我提的深海蓝，感觉还是挺大气的，跟宝马、保时捷的蓝色对比了一下，半斤八两，个性又不失沉稳。整车线条很流畅，有种美国车的肌肉感，造型很有力量感。当然了，萝卜青菜各有所爱，这个还是看个人的喜好。 驾驶座座椅还可以，软硬适中，靠背有充气装置，可以自己调节弧度，调好以后保存，下次就可以直接调到你自己舒服的位置。后排座椅可以调节2档，角度非常的舒服，空间也很大。方向盘的材质有点磨手，准备自己缝个皮质的套。行车噪音有点大，只有前排有双层玻璃，所以风燥还是比较明显的，停车的时候就一点声音都没有，非常安静，除了内饰略有些异味外，没有汽油味，不用担心一氧化碳中毒，感觉可以在里面住好久 这个价格比官方一开始给的预售价便宜了十几万，还是挺值的，后期肯定会再降价，但怎么说呢，虽然晚买享折扣，但早买早享受嘛，再也便宜不了几万块钱，而且用的这段时间省了打车的钱，差不了太多吧。目前还没有去保养，听说就是线路检查，换个空调滤芯什么的，应该花不了几个钱。油车一公里5毛钱，这车家充的话一公里1毛钱，省老鼻子钱了呢。标配是黑色，换颜色的话加8000块钱，个人感觉换颜色还是挺有必要的，毕竟黑车加黑线条，晚上基本等于隐身，感觉还是挺危险的。没太多期待的配置了，因为直接顶配，该配的都配齐了。 我不太喜欢花里胡哨的内饰，越简单越好，这款车就很符合我的品味，如果你也喜欢宜家的家具，也喜欢Jordan的黑白红简约风格，那你一定会喜欢这个内饰的，就是啥都没有，但简单的搭配让你很舒服那种感觉。Y目前没有白内饰可以选，但白内饰据说用个三五年后等涂层掉了会发黄，所以如果有的选的话我也会选黑色，多酷啊。异味的话目前还可以接受，等用几天再评论吧。音响真的是很震撼，自带的放屁声音都无比还原。 自动驾驶的变道和拐弯有点猛，我现在只用自动驾驶开直路，遇到拐弯或者山路还是自己接手吧。方向盘有三种模式可以选，越野模式方向盘会比较沉。因为有辅助驾驶，在偏离行车道的时候会给你一个阻碍的力，提醒你压线了，但这个感觉不太舒服，有的时候自己主动变道也会阻碍一下，会让人心里一惊，这就是我说的过于智能的感觉。还有一点，刚从油车换到特斯拉可能有点不适应，他的单踏板模式目前是标配，不能模拟油车的松油门滑行的感觉，所以刚开始开的时候一松电门就刹车把后排人整的想吐，但等300公里后完全适应这种逻辑，开的反而比油车更稳更轻松，感觉再回去开油车的时候反而会有点不适应。 北京市里开了几十公里，跑长途跑了二百多公里，因为家里没来得及安装充电桩，所以都是在超级充电站里充电，算了一下，大概合一公里3毛钱吧，因为超充是1.8左右一度电，还要另交停车费。如果家充的话估计不到1毛钱一公里，比开汽油车省多了。 感觉北京已经没有能追上我的车了，后面车想加塞儿，一脚电门下去，远远甩在了身后，真可谓一骑绝尘啊。但是在高速上不建议开的太快，保持在120以下就可以了，否则会比较费电。 空间没得说，无论是前后排还是储物空间简直太理想了，提车后立马把帐篷、推车、野营装备塞了进去，空间绰绰有余，就是有点不太习惯前备箱，经常忘记还有东西在里面
"{""brand"": ""特斯拉"", ""model"": ""ModelY"", ""name"": ""长续航全轮驱动版"", ""year"": 2021, ""price"": ""34.79万""}","看到之家口碑区也没几篇口碑，况且也暂时没有蓝色，我就姑且，先把我的提车经历分享给大家吧。车子是1月1号当天晚上10:00左右下订单。上一辆model 3 选的是红色，这一辆想买一辆蓝色的SUV。既然价格合适，那就定了一部。销售通知提车，时间是1月28号。我推迟到周六1月30号提车。车子跟上一辆一样，没什么毛病，现场仔细检查过。还好，漆面外观都比较正常，没有掉漆的情况。做工的话。比3要好一点。内饰木条稍微升级了一下。充电版还有中央扶手储物比起3要优化了不少，在南京提的车。 要说有不满意的就是。我当时想让销售把我的订单转到扬州，但是最终还是在南京提的车子。来回跑比较不方便。空调要么一起开要么一起关，如果主驾驶想吹空调副驾驶不想吹，那就没办法。还有个问题就是雨刮器档位设置太少，自动挡不太智能。目前就这么多不满意 外观还行，侧面比较好看。看看图吧。。。。。。。 舒适性肯定不如奔驰奥迪什么的，毕竟是运动型的车。你既然要运动那么舒适，肯定要妥协 其实下单的时候就已经知道这个车肯定还会再降价，四区的话大概300,000出头能买到，现在34肯定贵了点，不过人一辈子太短，还是要早买早享受，晚买享折扣。 内饰实在是太简单。就一个毛坯房。我觉得还是奔驰的内饰最好看。但是要论科技感还是可以的。软件部分奔驰也做不到这个水准 比起毛豆三稍微有点不足。毕竟是SUV中心稍微高了点。转弯还是要慢一点。 我没有开标准开的是轻松模式。电耗大概是17。这么算下来，二月份这个季节能跑450到460样子。扬州气温大概是零度到八度之间。 加速肯定没得说。四驱加速5.1秒。就算不开标准。也能秒杀90%的车子。￼ 我身材如图。所以空间对我来说比较够。后台除了坐垫比较硬，比较短。空间还是可以的。试过把后排座椅放倒。1.75米躺进去脚稍微要斜一点。如果能铺一个垫子，能睡个午觉。"
"{""brand"": ""特斯拉"", ""model"": ""ModelY"", ""name"": ""长续航全轮驱动版"", ""year"": 2021, ""price"": ""34.79万""}","整体非常满意
1.外形时尚运动，颜值在线，整体尺寸和x3，glc一个级别，我定车选的白色，现在一点不后悔，白色耐脏，显大，唯一的遗憾是没有选择20寸轮毂，后来改成黑色，效果好了一些。
2.操控非常好，开起来非常有乐趣，地板电动力随叫随到，输出持续线性，舒适加速模式日常够用了
3.内部储物空间非常够用，前后后备箱区分使用，总之就是好用
4.ap入手使用比较简单，比预计的好用，高速或者高架桥上，能减轻驾驶负担。 1.底盘有些低，简直不像是SUV，上个马路牙子，前保险杠就蹭着了，遇到不好的路况，想着底盘都是电池，不敢放纵着开车，纳闷为什么底盘不能低一些。
2.座椅有些不舒服，舒适度一般
3.全景天窗颜值确实好，就是真的容易色，想着夏天就有些怕，所以把隔热最好的车膜，已经装上，将来再安装上遮阳帘
4.车机用的是联通的卡，信号真的很差，地下室就不说了，从来就没有连上过，再家里没法体验手机控制汽车的一些功能，在路面上还经常掉信号，真的无语
5.车上自带的qq音乐，最大问题是无法离线储存，只能每次都是线上播放，没网的时候，音乐都听不了 外形满意，颜色也非常喜欢，改过颜色之后的轮毂，也比之前顺眼多了 悬架整体偏硬，属于运动型，底盘非常规整，没有一点松散的感觉，舒适性能接受，不算差，车内噪音有些大，只能在高速是用音乐来遮挡了 性价比之王，指导价已经很惊喜了，电车没有购置税，真的能比得上50万的车 特斯拉内饰没啥可说的，就是简单，该有的都有，比model3，有所提升 方向盘有些重，习惯了还好，方向盘指向精准，指哪打哪 我驾驶比较温和，最近1000公里，平均电耗15.1左右，已经够用了 双电机动力就是给力，舒适模式下，就非常够用，在标准模式下，动力源源不断，非常线性，惊喜！ 本人178身高，头顶空间非常好，后排也足够宽敞"
"{""brand"": ""特斯拉"", ""model"": ""ModelY"", ""name"": ""长续航全轮驱动版"", ""year"": 2021, ""price"": ""34.79万""}",1.动力强劲 调到轻松模式动力还是源源不断，驾驶感受有些跑车的感觉，推背感很强，起步超车加速那稳稳的。红灯踩电门可以秒杀基本所有油车，只能望着你的大屁股唉声叹气。 2.空间充足 ModelY的空间跟Model 3比有一个质的飞跃。尤其在头部空间，本人176调到适合驾驶的位置还能有一拳多的头部空间，后排地盘平整，空间也十分充裕。 3.座椅舒适 如果说Model 3因为车辆过低需要窝着开车，那ModelY可是真真正正的坐着开车，他的座椅很高，调到适合我的驾驶位置时还能再往上提高，能让你完全坐直了开车，驾驶体验极好。而后排座椅网上说什么特别硬，然而实际乘坐起来特别特别的舒服，因为它填充物充足让你可以笔直的坐姿，同时又有种SUV的硬朗劲儿。尤其是在冬天Tesla特色的五座加热一开，别提有多舒服了。 4.方向盘指向精准 并无网上所传的虚位，十分精准，指哪打哪。略微的有点沉但对家是没有影响。 5.音响 特斯拉的音响在电车里做的也是出名的好，实际体验确实如此，播放歌曲十分有动感，后备箱上就有两个巨大的低音炮音响，整体感觉非常好。 1.黑屏 买车第二天就出现了黑屏，自己重启两次后没有问题，这也是广大ModelY车主都遇到的问题，习惯就好。 2.做工和异响 开车过坑是能明显感受到后座在响，当然这也同样是广大特斯拉都有的毛病。还有就是外观做工，左侧车门前后门明显的没有对齐，在提车地看了看基本都这样，要么上下不齐要么左右不齐，习惯就好 外观就不用说了 实在实在太好看了 大屁股➕无框玻璃 回头率极高 非常可以了，远远超过预期，座椅很软很舒服，后排很硬但支撑性很强 高到离谱吧，原本五十万现在三十万，这个动力在这个价位肯定是无敌的 内饰也是特斯拉家族式的风格呗 跟Model 3没什么区别 木纹也还是对不齐哈哈哈哈哈 明显的没有虚位，操控手感极好，指向型很强，非常舒服，的确是特斯拉的东西 还好吧，冬天这个温度差不多是表现的百分之八十，跑个400km问题不大，家里有充电桩每次回来充上就好 提速极其迅猛，431匹的马力配合双电机，标准模式下推背感极强，城市中开轻松模式足够，标准嗖嗖的总得刹车 非常宽敞 乘坐感极好 因为没有了中控台和各种摁键 腿部空间完全释放
"{""brand"": ""特斯拉"", ""model"": ""ModelY"", ""name"": ""长续航全轮驱动版"", ""year"": 2021, ""price"": ""34.79万""}","就像iwatch一样，那些精英大佬们也一定会有一辆特斯拉，虽然他们还有百达翡丽江诗丹顿理查德米勒，虽然他们还有宾利劳斯莱斯！
小孩子见了特斯拉都賊兴奋，一问，和平精英里的大牛逼货！
所以modelY让我最满意的是科技改变生活，改变人类进程！

1、科技感，每次拿出手机操控车辆的时候，都会让你重新认识汽车
2、外观，没有慌乱的造型，也没有矫情的线条，整体给人很舒服的观感，恰到好处
3、内饰，向来喜欢简洁的东西，可以说相当符合我的味口了。
4、动力，这个嘛，基本吊打路上的车了，完全不用担心
5、空间，乘坐空间没有问题，前排后排表现都很好，储物空间的话，堪称巨大了
6、省钱：不交智商税，不需要保养，电费便宜，连刹车片都废不着，完美节省！
7、限号问题：完全不用担心了，还有停车免费等政策，完美！
总体来说，ModelY带给我一种全新的驾乘体验，改变了对汽车的传统认知。
一句话：电动车分两种，特斯拉和其他！ 不满意的地方还是有的，但是买车心态要好，稍微吐槽一下
1、噪音：感觉有点大，特斯拉说是因为没有发动机的声音来和谐风噪胎噪所以听起来大了点，好，接受这个理由！
2、异响：多多少少有一点，不频繁出现但是时不时就会告诉你一下，怪膈应人的
3、续航：工信部标594，刚从95%开始跑了趟高速，实测北方的冬天能跑450左右，空调不是全程开启，不知道是应该满意还是不满意，索性写到这里吧，毕竟我还是想能跑550最好，哈哈哈哈
4、充电：第三方要2个小时充满，有点慢，超充站布局又不太够，加油布局超充吧！
5、小Bug：我的车窗一键升起有点bug，需要重复操作两次才能起来，闹心
6、网络：车机联通的网络，地下车库里实在是没信号啊，更新得开出去，也不能提前开空调，失去了手机操控的优势，憋屈啊。要不别用联通的卡，要不让大家选装，马上开订阅了，这网络信号怎么订？？？？

不过总体来说我还是满意的，家用足够了，性能空间驾乘体验操控都还是不错的！ 黑20帅，车漆软，得上车衣
外形帅气自不用多少，再加上交付的太少，所以上路必吸引目光！ 5个座椅加热加方向盘加热完美应付冬天，但是没有通风夏天就难过了！
开起来感觉有点硬，路面反馈明显，方向盘会抖，说是20轮的通病，二选一，颜值控选了20轮 选装了FSD，20的轮，买了第三代家充，上个保险，加车款就上路了，性价比满意！
性价比这个东西，喜欢就不贵，用着满意就不贵，因人而异！
至于韭菜不韭菜的，马老板不还在通往殖民火星的路上奋勇前进呢，早买早享受，超级工厂的国产化降低成本后车价降下来，总比友商们不发展核心技术，单纯拼配置来卖高价更诚意一点？？？ 不论是钟爱粉还是诟病粉，总之我是喜欢这种简洁风格的，从特斯拉把双闪的物理按钮放到头顶，也能反应出特斯拉不希望中控位置有冗杂的物理按键，设计理念！ 方向盘稍有虚位，但是可以忽略
底盘不很高，别去哐哐越野，就是个城市suv
换20轮之后略微颠簸，特别烂路，反馈明显
但是FSD开高速那叫一个爽！一点都不累啊 1500公里，城市900，高速600，新车造的狠了点，电耗有点高，平均在160。
基本工信部的594，打折跑个430～450的样子 特斯拉的对手只有特斯拉了 185高，170重，我开后排坐着也还行
储物就不说了，到处都能放
中控扶手箱太深，没有设计个二层，稍微欠缺一点
前备箱后备箱随便放，后备箱里还有底层空间，没有备胎，全是储物空间
以后买起床垫，出去露营️"
"{""brand"": ""特斯拉"", ""model"": ""ModelY"", ""name"": ""长续航全轮驱动版"", ""year"": 2021, ""price"": ""34.79万""}",自动驾驶非常赞，基本就是冲着这个买的；用车成本大大降低，油车的n分之一吧；补能方便，自己家里安了充电桩，终于不用为了加个油还要特地跑去加油站了； 尾箱共振，音乐能遮盖，但是这个问题强烈建议tesla想办法解决 感觉都很棒，没有任何问题，很多人夸过这车好看，尤其是大屁股，哈哈。 尾箱共振可能是唯一的缺点，再就是nvh做的一般。 在国内bba定价明显虚高的情况下能卖这个价格真的良心 我很喜欢这种简洁风，多余的东西也没用，中控屏解决所有问题。 方向盘略沉，圈数好像比油车小，感觉还是很赞的。 我开车比较猛，所以电耗高也正常，绝对够我用的。 就说俩字“电车”，路上随便秒所有燃油车。 大多数都是我自己开，偶尔两三个人，空间足够
"{""brand"": ""特斯拉"", ""model"": ""ModelY"", ""name"": ""长续航全轮驱动版"", ""year"": 2021, ""price"": ""34.79万""}",元旦去灵山烧了下香，路上看见推送说出了国产版毛豆Y。就被深深的吸引了。2号去展厅看了下就直接下单了。选配的是白色19寸。到3月1日通知提车。三月二日就直接去提了 。在官网通过支付宝支付，当时用的招商银行信用卡，还多了不少积分，推荐使用！提车当天交付专员简单介绍了下，也没有什么赠品，就自己开回家了。一路体会了百公里5.1秒的加速，超爽！毛豆Y的自动驾驶功能还是超出想象的。按两下D档直接智能跟车，打转向灯自动变道。智能化娱乐会也爆赞，就像操作一部手机，充电时候无聊还能斗地主。官方超冲真的太贵了，路上用特来电APP找了个充电桩冲了下电，0.95一度电 ，充电时间也很快。停车场还不收费。才开了500公里也没别的什么体验。就是一个大玩具，买这个车就是拿来玩的。 网络经常会中断，很不爽，售后说这个正常，以后软件升级的时候会变好。 就一个大玩具，做工也一般 ，追求不用太高。 自己开的时候还是挺舒适的，过弯什么也挺不错。 谈不上性价比，因为没有可比的车。特斯拉就是特斯拉。 特斯拉的内饰没啥好提的 他又没有啥内饰 看的过去就ok 方向盘有点重，轮胎有点颠，别的还不知道呢！ 反正看见超冲站就冲一下，回到家里也用自己的小桩冲冲，电车的路程忧郁症是好不了的了。 百公里5.1秒的速度只能自己开了才有体验。单踏板操作也很爽。 作为小型越野车空间肯定没得说。前后备箱都很大。
"{""brand"": ""特斯拉"", ""model"": ""ModelY"", ""name"": ""长续航全轮驱动版"", ""year"": 2021, ""price"": ""34.79万""}",1、动力强且输出线性，加速顺滑，随叫随到；2、科技感强，自动化程度高，辅助驾驶技术领先，自动驾驶安全、好用；3、乘坐空间和载物空间都很大；4、电池续航满意；5、具备OTA，可以通过系统升级带来新功能或者优化系统功能；6、特斯拉超充网络，覆盖范围广，充电速度快，提供了可靠的电力服务保障。 1、车辆做工总体一般，内饰比较简洁，缺少豪华感、精致感；2、噪音控制不理想，行车不够安静，风噪胎噪比较明显，偶尔会有异响；3、车机系统本地化服务有待提升，比如平时最常用的导航功能还有提升空间。 偏运动的溜背造型，外观设计比较现代，有科技感和现代感。 偏运动的调教，路感比较明显，减震不突出；隔音较差，胎噪风噪比较明显。 售价不算便宜，但相较同级别车油车和新能源车，性价比还可以。 内饰十分简洁，没有豪华感和品质感，做工一般。 无论是地盘悬架还是方向盘，都属于偏运动的调教，操控很好。 在新能源车里续航能力算是比较强的，超充方面绝对领先。 动力强且输出线性，加速顺滑，随叫随到，动力澎湃。 乘坐空间和载物空间都很大，无论是家庭用车还是长途旅行都够用。
"{""brand"": ""特斯拉"", ""model"": ""ModelY"", ""name"": ""长续航全轮驱动版"", ""year"": 2021, ""price"": ""34.79万""}","1.续航，充满电现在是500公里没有跑过长途，但是续航很实在每天上下班130公里，测试了很多次基本1：1掉电，跑100公里多掉电几公里。
2.操控，确实是开过最好的，可以秒路上99%以上的车，随叫随到的动力推背感十足。
3.科技感还是不错，自动驾驶辅助很好用，适合我上下班用。
4.回头率还是非常高，每天路过大学城看来学生比较喜欢这个车。
5.音响效果确实不错，低音很沉高音通透不刺耳，可以选择喜马拉雅和qq音乐。
6.内饰虽然很简洁但是用料还是可以，木饰材质包皮和翻毛皮还是很有质感。
7.能耗很低，虽然是双电机，不得不佩服特斯拉的三电技术，只要不激烈驾驶基本1：1的续航 1.共振问题严重，每天脑瓜子都是嗡嗡的，特别是一直走不好的路面尤其明显，有一次开着车右边耳朵突然嗡一下听不到了就是突然上了高海拔的地方，马上开窗缓解，压耳感很不舒服，这也是这个车我最吐槽的地方，提车做了四轮隔音后尾门隔音没有什么用建议车友不要做，只能等官方解决方案，现在慢慢去适应这个声音。
2.网络每天都要断很多次，不是在车库也不是在很偏僻的地方就是在城市路面上突然没有网络，开一会又有了。
3.减震很硬，现在胎压降到了2.5了还是很颠，路感很清晰，轮胎一个小小的震动就能穿到车内
4.车内气味太大，每天熏得我头晕，买了些炭包放车上效果好点
5.黑屏出现过一次，上车拨D当突然屏幕关闭显示特斯拉的标志重启正常
6.后排座椅很短很硬长时间坐不舒服，后排空间这么大为什么特斯拉把座椅设计的这么短 回头率很高，外形像轿跑的感觉，黑武士非常亮眼，20的轮毂相当帅气 主要是共振问题很难受，有轰轰的声音很上头，特别是不好的路面，一会就耳朵不舒服了，后排座椅很短很硬，减震也是很硬胎压降到2.5了还是很颠 如果能解决噪音和共振问题这个就是很完美的，不然舒适型还太差了，影响驾驶体验 简洁，很有科技感，翻毛皮木头材质和包皮质感很好，中控大屏的显示清晰度很高，触屏也很流畅 超控很好，地盘质感不错，方向盘都说偏重，但是比较适合我自己 不得不佩服特斯拉的电控基本上可以做到1：1的续航，还没跑过高速，跑100公里掉电6公里左右，充满500估计城市道路可以跑480左右南方地区，停车一晚上掉电1-2公里 目前开货动力最好的车，可以秒路面上90%的车，推背感十足，轻轻一点就是120了 前后空间都很不错，后排空间大但是座椅很短，舒适感差"
"{""brand"": ""特斯拉"", ""model"": ""ModelY"", ""name"": ""长续航全轮驱动版"", ""year"": 2021, ""price"": ""34.79万""}","1、随叫随到的动力，虽然这个词已经烂大街了，但我必须用它再形容一下初次体验特斯拉的感受。
2、极简的内饰，隐藏的空调出风口、近乎强迫症的设计风格（正面没有一个物理按键、双闪都在顶灯附近），改变了新能源设计师的设计理念，看多了美式的浓妆艳抹的豪油腻感，看够了德式所谓绅士、精致的豪华感，特斯拉的清新脱俗让我能进入驾驶舱瞬间放松下来 ，有一种脱下西装换上休闲装的感觉 很多人吐槽，确实我的最满意的部分。
3、科技感十足，标配的L2自动驾驶辅助系统，在当下的用车环境及路况，感受非常不错，尤其是在车机方面，无论是对于功能的集成，还是整套系统的上手难度以及使用流畅度，特斯拉的车机系统都可以算是目前市面当中的引领者，触摸按键位置非常合理，对于拿钥匙出入车门习惯的解放非常彻底，车里看电视电影效果体验很好。

4、空间感受很好，从离地间隙看其实算不上SUV，车内感觉也很像轿车，但是小两拳的头部距离、不错的腿部空间、后备箱的空间、还赠送一个前备箱给这台尺寸不算大的车加分不少。
5、选配的20寸轮毂物有所值，银灰色的车漆考虑到了兼顾家用及偶尔商务（个人感觉）
6、音响表现十分优秀，澎湃的低音和饱满的中音…，音质感受完全超预期，虽然不知道品牌，但是真用心了。 最不满意有几点
1、车机娱乐有bug，在自带的音影播放软件，有时候会出现不能选择清晰度、不能调窗口大小、进出软件逻辑有些不好用。
2、后排车座椅太短的确是个槽点，腿部支撑不够，不过目前没再后排长时间座，不知道真实感受。
3、导航不太好用，没有手机百度、高德表现好，路况、路线选择感觉模糊，导航过程中忍不住要打开手机确认路线（不过在音乐打开的情况下，导航音量介入很合理）
4、D 档换P档、或者R 档的时候轻踩刹车踏板有时候会出现哒哒哒声音，。
5、很多人提到的共振问题我目前到时没有感觉，是不是车有差异还是我听觉的问题 ，胎噪声音到时不小
6、转弯半径实在太大，很多路口得来回调整好几次 外观简洁大方，从后面看车的气势不错，基本没有槽点。黑色轮毂效果很赞。车灯设计很不错，大灯很亮。车身造型流线很好。 过减速带，车身跳动幅度不小，空调出风柔和，座椅软硬适中，悬挂偏硬。噪音问题需要再观察一段时间看看，胎噪问题很好解决，更换米其林就能改善，另外气压适当减一点也能改善 性价比很高，一定要选装20寸轮毂，视觉效果差距很大。颜色选择因人而异，全自动驾驶没有必要选择。期待将来增加座椅通风、联通信号增强。 内饰极简，真皮座椅手感不错，可惜没有座椅通风，标配座椅加热，新车味道很重，买了竹炭包吸了一周效果好多了。车机表现很好，很特斯拉。特别是娱乐、电影、电视、***（从此不用再担心等人的无聊） 手感适中，方向指向性还是很不错的，悬挂偏硬。弯道行驶感觉基本是轿车的感受，一般燃油车SUV达不到这种效果。 标准驾驶模式感觉更好，实际行驶公里数基本能达到国标工况法8成 ，目前只开了500公里，统计还不完整 。 提示秒杀市面上百分之九十的车，动力太赞 ，超车给力。瞬间提到120码，可惜耗电太高，动力平顺，动能回收太过于明显，电门踏板还要继续练习，完全不同于燃油车。跑高速120码以下，感受还是很不错。 空间不错，头部一拳四指，腿部两拳空间，后座椅稍短"
