question,answer
名爵MG72010款 1.8T 自动加长舒适版售价,21.48万
名爵MG72010款 1.8T 自动加长舒适版优点,优雅的雪茄形外观和古典内饰，依然保留着浓郁的英国绅士风。
名爵MG72010款 1.8T 自动加长舒适版缺点,上海汽车南京工厂糟糕的钣金工艺和部分配件质量，导致前保险杠接缝大，小毛病不少。
名爵MG72010款 1.8T 自动加长舒适版外观,很优雅拉风，不输豪车，很有品位和面子。
名爵MG72010款 1.8T 自动加长舒适版舒适度,真皮座椅、自动空调、前后分区空调、后窗遮阳帘、8喇叭的音响等等，我比较满意。
名爵MG72010款 1.8T 自动加长舒适版性价比,没落的小众车型，优惠比较大，超值。
名爵MG72010款 1.8T 自动加长舒适版内饰,古典英伦风，喜欢的很喜欢，不喜欢的很不喜欢，是我的大爱。深色桃木配浅灰绒布和蓝黑真皮座椅，搭配和谐完美，很有美感又不压抑，加上个大本钟，以及橙色仪表灯，实在是太美了。
名爵MG72010款 1.8T 自动加长舒适版操控表现,带前副车架的前悬挂，带后Z型纵摆臂和横向稳定杆的后悬挂，还有个镀铬亮银小尾翼，指向精准随心所欲，很给力，高速方向盘很稳，车身稳重不漂。17寸铝合金龙须轮毂配上固特异三能轮胎，抓地力强，如果升级为固特异御乘或者倍耐力P7就更好了。有一点要注意：机械液压助力的方向盘比较重，女士可能接受不了。
名爵MG72010款 1.8T 自动加长舒适版油耗表现,60-80公里经济开法在西四环我创造过5.4的油耗，高速上100-120巡航油耗6-7吧，北京市区夏天10-11，冬天11-12.7，1.6吨重的车身加上拥堵，这个油耗我比较满意了。
名爵MG72010款 1.8T 自动加长舒适版动力表现,1.8T涡轮增压发动机118kw的功率以及2000转就开始爆发的动力，超车游刃有余。因车身1605kg比较重，起步稍慢，主要是我不舍得踩油门。
名爵MG72010款 1.8T 自动加长舒适版空间感受,加长版2949的超长轴距带来宽敞的乘坐空间，后排空间奢华，无比给力；只是受车身设计曲线影响，前排头部空间不是很充裕，对身高超过180cm的人来说会有点局促。
名爵MG72010款 1.8T 自动精英版售价,18.78万
名爵MG72010款 1.8T 自动精英版优点,动力不错，油门感应非常灵敏，提速有推背感非常好
